,N1,N2,N3,N4,N5,Powerball
4,14,20,33,37,44,17
6,3,5,26,54,55,20
37,2,18,50,58,59,20
53,1,11,18,20,60,19
55,5,11,29,35,54,24
56,1,9,16,24,44,20
60,10,13,24,46,48,22
61,2,3,35,41,59,17
1,8,14,30,62,67,22
3,1,14,22,27,51,23
9,3,8,11,16,67,24
17,11,13,33,38,59,22
32,5,10,44,48,59,24
46,19,27,38,41,53,21
49,26,30,39,44,63,25
54,12,14,29,49,68,21
59,17,25,26,44,65,23
61,2,28,31,41,50,25
15,6,24,39,57,68,22
16,1,11,13,48,63,20
17,15,17,35,46,59,23
23,10,18,34,47,56,25
28,13,14,41,50,59,25
48,8,11,33,36,50,22
51,13,15,28,34,62,24
58,9,18,31,56,67,20
59,6,15,32,52,59,22
4,4,12,14,23,36,25
8,3,11,17,53,62,25
16,4,20,40,48,57,21
22,4,5,25,29,33,17
26,4,8,18,37,62,25
28,1,8,17,31,36,22
32,3,5,7,29,48,24
36,4,8,27,57,67,19
44,14,20,21,47,69,22
49,13,22,36,40,62,19
61,24,37,38,40,68,22
62,6,20,37,40,59,19
4,4,5,6,48,55,21
5,6,21,32,41,43,24
13,1,9,17,20,64,21
20,10,12,21,27,33,14
32,1,4,6,11,31,20
33,9,11,23,44,56,21
40,27,32,40,49,51,19
42,8,9,18,31,58,23
43,3,10,35,40,52,25
45,5,26,40,53,63,24
52,3,8,26,45,50,18
56,8,15,19,23,25,18
58,20,22,27,40,48,24
61,1,12,25,28,50,23
4,14,29,36,43,53,22
11,7,14,37,59,64,23
19,17,22,29,50,58,23
40,15,18,40,46,56,20
50,20,22,31,37,41,24
55,14,15,28,52,62,24
59,31,32,34,36,59,25
61,3,34,35,63,69,25
8,1,5,25,54,67,21
10,8,10,17,21,58,23
30,12,14,24,29,47,22
47,4,25,51,60,68,24
49,8,20,29,43,46,22
58,11,17,21,61,69,23
63,11,39,51,53,54,25
64,9,19,20,36,47,24
6,8,22,37,45,55,25
22,16,33,47,48,51,23
28,6,8,20,58,61,24
29,5,15,27,49,64,25
38,2,3,11,31,53,20
46,3,7,8,12,59,23
53,9,10,46,57,69,25
56,27,30,38,42,66,23
61,2,11,21,29,65,24
0,7,13,29,36,53,25
4,14,18,25,41,58,17
13,8,24,41,42,54,25
16,9,17,24,46,49,22
17,3,27,45,52,56,25
24,22,23,42,51,58,21
31,15,18,32,36,56,24
36,26,31,40,43,48,18
50,6,13,24,55,65,20
51,3,11,22,35,56,24
58,6,7,19,57,64,23
61,5,12,42,43,62,22
0,9,19,28,36,64,21
8,4,15,32,34,58,22
29,19,23,30,38,62,21
31,18,26,33,45,58,25
40,3,33,36,44,46,25
61,3,12,19,41,50,22
10,6,19,49,51,57,25
15,5,11,34,35,43,20
17,12,24,33,52,57,22
26,2,10,21,44,56,20
37,13,21,40,41,44,23
41,15,21,29,34,46,19
53,15,23,40,42,53,22
55,4,16,22,36,39,24
57,12,18,29,51,68,17
58,26,27,35,37,41,18
8,14,16,44,56,60,20
10,9,16,19,32,64,22
17,5,7,41,43,65,22
23,6,23,33,52,53,22
24,2,16,17,18,23,24
25,8,9,17,48,64,25
49,6,11,17,22,61,24
54,6,14,26,57,59,21
55,1,7,30,38,51,23
58,27,28,39,47,51,21
8,6,11,15,18,39,24
19,9,10,40,46,67,21
21,3,15,30,46,48,24
26,1,29,36,39,66,24
33,3,4,48,49,66,25
34,8,20,41,51,59,24
35,13,27,30,33,48,24
37,14,23,25,44,61,19
38,6,8,14,22,39,23
48,6,21,46,59,66,24
52,9,21,33,39,56,25
58,27,38,45,47,50,20
61,27,32,33,58,68,25
43,1,19,26,30,64,23
48,3,11,41,46,49,19
53,25,32,38,55,64,22
56,6,24,34,50,52,25
2,8,15,36,55,57,19
3,5,30,48,49,55,25
13,3,18,33,38,40,24
14,3,24,27,33,42,25
15,17,19,29,41,56,18
36,20,24,44,49,59,23
39,15,18,43,48,64,21
46,7,8,56,57,62,25
55,2,7,15,27,30,22
56,1,2,4,20,36,25
58,17,31,34,43,51,24
6,3,16,18,44,47,21
16,15,24,44,53,63,25
19,1,6,9,30,56,18
31,1,16,33,41,44,24
32,3,17,19,41,58,18
33,8,12,37,47,60,19
43,8,9,24,34,66,23
45,6,10,13,59,61,18
46,4,6,11,18,41,21
51,14,16,22,47,55,21
61,1,4,24,40,68,21
62,9,23,38,42,57,19
11,8,22,41,45,62,25
12,11,13,36,37,51,22
27,3,19,36,56,60,21
33,14,19,37,38,65,24
36,11,18,33,39,64,24
50,14,16,20,34,48,23
54,8,25,36,38,65,21
56,12,23,35,41,61,22
57,6,17,19,29,62,25
61,3,5,18,20,67,22
62,8,17,34,49,52,22
63,13,20,26,28,46,24
14,4,5,11,35,48,24
29,28,34,35,48,55,19
32,15,16,17,34,67,24
34,4,16,50,56,64,23
36,3,19,21,44,65,23
40,6,8,31,44,59,25
42,6,12,29,40,67,18
46,12,25,30,34,52,23
56,4,9,29,51,61,22
58,13,17,22,47,56,19
61,27,28,32,46,63,23
64,2,10,35,50,69,18
3,6,14,16,32,37,19
4,14,24,28,48,69,23
6,2,10,21,51,54,22
8,5,9,34,47,49,21
12,7,10,14,35,57,16
32,11,13,17,26,69,20
33,12,18,33,51,54,22
42,5,8,29,30,42,25
46,2,12,19,35,38,23
48,15,20,34,36,37,25
51,5,6,13,40,47,17
54,10,24,27,44,69,19
59,27,28,31,41,56,23
60,6,7,18,27,35,23
63,9,31,38,54,69,25
7,2,3,29,31,67,24
12,3,4,15,40,53,25
13,4,6,8,58,62,22
30,22,25,26,41,61,21
31,14,19,25,28,48,22
37,9,15,50,53,60,24
0,23,41,46,47,50,24
6,1,13,34,39,61,25
21,4,20,31,41,63,21
27,1,4,34,43,52,25
40,12,27,39,47,62,21
56,2,4,22,65,66,24
61,28,29,37,40,47,22
1,5,6,11,24,63,25
2,4,24,26,47,62,21
10,7,15,33,37,52,24
15,4,6,20,22,23,25
29,13,23,41,50,61,22
32,11,16,18,41,50,21
40,7,8,31,34,67,19
43,15,17,35,51,60,18
46,7,14,15,24,64,23
52,15,20,32,48,64,24
53,6,18,24,25,52,22
56,2,26,32,34,60,22
57,16,22,23,26,42,24
58,15,16,26,51,58,19
61,2,7,49,63,64,24
62,6,16,28,43,57,24
6,4,5,7,48,58,22
14,1,20,26,49,64,24
16,13,14,15,42,51,22
22,13,24,34,46,61,21
23,1,14,15,26,34,22
26,3,5,16,18,30,25
35,1,11,24,28,33,22
39,14,16,22,62,69,21
44,21,35,41,46,52,20
45,12,17,46,64,69,25
46,11,20,32,51,60,23
48,11,15,23,37,40,19
60,5,13,26,57,69,23
64,17,20,25,30,65,22
0,10,14,44,48,52,20
2,13,27,42,51,68,21
6,4,9,23,41,56,24
29,9,34,44,50,53,24
33,3,5,9,54,58,25
53,12,20,41,47,66,22
61,22,29,33,57,59,19
64,19,21,24,52,64,25
21,2,4,35,56,63,24
24,21,29,35,41,57,24
33,5,8,24,29,31,25
35,3,24,30,39,67,25
36,6,8,10,30,39,22
37,1,6,8,18,55,19
6,16,24,39,53,54,19
9,28,30,41,51,58,20
11,18,23,29,31,64,22
18,8,11,37,38,48,24
23,3,17,22,29,52,21
35,8,14,27,48,54,23
39,1,5,6,62,69,17
46,11,16,23,32,39,22
54,10,23,24,63,64,19
58,4,9,27,31,55,24
59,2,9,46,49,54,16
63,8,19,36,55,62,20
0,10,22,42,52,57,25
15,2,18,27,43,62,25
23,20,29,30,33,47,25
24,13,25,27,41,46,22
31,16,26,35,45,60,23
34,16,29,30,33,49,22
42,4,5,37,43,45,25
63,3,18,35,55,62,22
0,15,24,27,56,60,22
8,3,16,20,44,49,25
10,11,16,32,61,65,23
11,3,5,21,39,53,20
18,6,24,26,39,60,22
21,1,6,18,45,50,23
34,9,10,36,54,63,20
43,9,21,23,26,54,20
47,5,13,15,29,30,20
55,6,8,38,58,60,21
56,7,20,27,38,53,22
15,12,14,24,27,42,25
20,2,25,41,44,47,22
32,2,3,5,48,62,23
35,1,3,23,50,51,20
42,4,21,23,57,58,18
45,4,18,34,45,63,22
53,18,21,36,38,49,24
56,21,31,32,34,46,25
61,2,7,23,44,46,20
11,18,24,28,36,41,22
22,1,18,33,39,57,22
33,13,21,27,30,49,24
35,9,19,24,26,63,23
41,2,3,17,61,66,20
44,13,27,32,44,54,19
48,7,10,11,33,55,25
50,7,8,27,29,57,25
52,8,11,28,53,67,16
59,20,27,31,59,61,25
61,5,11,20,51,55,24
64,5,37,41,44,52,25
1,14,20,27,28,57,23
4,22,25,35,42,69,21
6,4,5,22,61,69,16
7,12,15,25,30,65,23
15,8,12,13,49,63,20
27,4,12,19,47,58,25
32,5,12,22,43,55,19
33,1,8,34,42,59,18
34,19,25,32,34,50,24
43,6,15,29,37,54,18
50,2,18,27,40,52,21
57,3,9,26,38,42,21
61,19,27,38,41,48,23
2,1,14,15,22,64,19
6,3,5,12,26,58,17
17,1,20,30,31,53,18
20,7,8,14,21,27,24
22,7,14,32,59,65,24
36,1,15,21,26,45,19
37,4,7,12,14,16,25
45,5,14,26,50,66,19
50,21,23,33,38,52,24
53,24,25,32,41,48,23
61,9,24,28,47,59,16
9,10,12,40,49,54,25
11,3,7,36,37,60,25
34,22,25,26,40,56,24
48,2,15,30,34,46,20
54,11,12,17,35,49,22
56,7,11,33,35,38,23
62,1,17,24,34,38,21
63,6,15,18,50,58,24
2,3,11,29,37,59,25
4,5,8,46,50,65,23
32,9,17,27,29,37,21
35,1,7,19,30,37,25
45,7,12,17,40,58,21
46,14,32,40,50,61,21
50,11,23,27,30,54,17
53,2,33,37,51,55,20
54,7,10,16,40,58,23
62,17,20,22,24,39,13
0,2,9,26,48,63,21
1,20,22,42,44,54,21
32,8,9,42,59,68,19
35,18,38,39,51,59,23
42,3,11,38,44,57,23
57,25,36,39,50,63,23
1,12,20,27,58,60,21
2,3,16,32,38,69,25
6,16,30,37,55,63,22
9,17,19,28,59,62,16
10,3,4,6,42,44,22
16,6,14,28,35,39,24
19,7,17,37,46,60,23
21,26,27,41,48,53,22
29,2,9,36,42,49,22
30,14,20,26,55,59,19
31,16,17,47,51,55,19
38,2,4,11,14,45,21
39,5,20,43,45,54,23
56,15,20,23,24,27,25
0,4,8,29,39,46,22
1,8,14,21,48,65,17
2,4,17,30,58,67,23
3,1,7,31,50,61,23
5,10,12,19,27,35,23
9,2,20,24,38,48,25
30,3,15,26,29,57,24
34,1,34,35,43,56,22
36,8,10,19,20,43,25
46,1,24,47,48,67,25
57,17,21,32,38,55,19
58,8,10,34,41,44,22
12,16,17,30,32,33,22
13,8,16,19,40,56,24
14,26,27,30,42,55,25
17,3,5,24,32,40,22
36,16,18,19,32,36,25
39,3,11,21,36,42,23
47,8,22,49,62,64,23
56,9,24,37,48,62,21
58,15,17,18,45,55,23
2,4,18,42,46,69,22
12,6,12,18,24,67,17
17,2,8,11,53,60,19
29,11,14,15,26,29,18
32,7,9,13,38,40,24
35,8,11,27,36,46,20
39,1,2,18,36,49,20
40,10,18,19,23,53,25
41,4,10,43,46,57,19
43,1,2,26,39,69,21
45,16,21,23,30,35,24
10,4,6,40,45,67,23
16,2,3,7,22,54,24
26,3,9,20,28,54,25
30,10,16,45,53,68,20
33,2,9,12,35,51,20
38,2,6,14,19,34,23
40,7,19,20,26,57,24
49,5,9,23,45,59,25
53,1,6,7,19,59,23
56,1,15,16,23,24,21
62,1,9,15,44,65,19
63,1,11,12,20,53,23
9,21,22,25,55,56,20
15,3,17,45,46,57,18
18,14,28,40,42,57,25
19,12,27,32,36,53,23
25,7,9,14,49,57,22
26,8,22,28,34,69,20
36,8,19,32,40,50,25
43,3,8,27,29,44,22
45,13,15,20,53,63,21
57,28,31,32,45,58,23
1,1,5,55,56,59,24
2,14,18,41,51,66,23
4,2,7,19,32,54,21
8,11,14,20,28,30,22
9,9,18,25,32,55,21
16,6,12,24,30,63,19
18,11,18,44,47,56,23
33,3,13,17,50,60,23
43,7,24,28,45,65,23
49,8,12,35,41,68,16
50,5,27,29,45,62,22
51,17,18,25,26,30,16
52,1,11,14,46,55,20
54,3,23,32,51,55,24
56,2,8,10,27,36,25
61,19,21,22,32,59,17
1,11,30,40,55,59,23
6,30,33,38,46,49,21
30,11,12,19,25,61,24
35,10,12,43,55,65,21
40,9,17,24,27,53,16
44,1,4,29,54,67,24
46,5,17,21,53,62,23
48,5,18,42,48,51,23
49,8,11,29,34,51,22
62,12,28,41,46,48,21
64,9,14,19,52,61,17
2,18,20,21,54,65,25
5,7,16,25,34,44,24
6,14,15,17,30,49,21
9,7,14,21,35,52,25
24,1,19,22,42,45,25
33,17,18,20,51,60,25
35,5,7,19,22,46,21
43,7,11,12,58,61,17
45,2,5,31,40,67,18
47,4,7,42,45,53,24
57,6,8,27,34,60,19
58,30,35,41,42,63,23
60,4,13,14,18,56,20
61,17,23,33,34,54,24
63,34,37,48,51,56,25
1,3,4,21,28,33,17
18,16,25,33,45,57,22
20,14,22,28,34,43,23
27,4,7,26,45,49,19
33,1,9,20,40,46,25
40,8,9,25,29,65,17
44,26,32,35,38,58,21
46,11,12,27,40,42,24
49,7,8,20,37,46,25
54,8,20,39,43,63,22
58,2,3,37,43,67,13
61,6,7,11,32,45,21
64,12,24,25,34,44,22
5,3,10,14,19,38,24
14,9,21,36,46,65,22
19,15,17,45,54,60,18
22,7,12,19,28,33,25
31,9,20,32,56,62,23
43,1,4,5,27,36,24
61,5,11,21,46,52,25
1,13,14,34,51,60,20
4,11,12,53,56,63,24
6,8,31,39,41,47,25
10,1,2,35,49,58,20
22,21,31,33,37,66,23
25,24,29,34,49,51,20
30,2,15,18,28,40,25
38,17,21,27,36,43,25
40,35,39,43,46,61,25
44,4,5,8,60,69,18
59,8,9,19,20,44,25
4,5,11,35,58,59,19
7,2,12,27,31,44,20
16,5,20,26,27,52,18
26,1,6,9,12,63,19
31,7,17,28,32,46,22
34,3,17,48,55,57,18
35,19,24,30,36,53,23
36,8,26,30,42,52,24
37,22,25,27,44,59,19
47,13,24,35,50,67,17
56,2,16,26,27,58,20
61,1,9,14,16,33,24
64,28,34,45,46,48,21
6,1,18,39,47,54,22
12,11,19,27,31,45,25
15,2,15,52,61,63,24
16,1,2,14,17,53,16
19,3,4,7,8,14,24
21,5,16,44,48,50,23
22,6,12,25,42,46,20
27,1,2,30,54,59,20
35,2,21,31,34,38,22
36,4,6,19,26,29,18
37,7,10,35,65,66,19
46,7,23,41,50,63,25
52,25,27,32,48,52,20
53,1,13,19,23,40,22
55,2,17,44,49,54,21
61,3,11,19,23,67,20
3,3,13,38,45,61,21
4,2,7,17,32,65,16
16,3,13,15,30,52,25
26,8,18,21,29,46,23
28,3,7,46,47,59,21
30,3,17,18,49,65,21
33,13,15,23,58,61,24
34,35,36,37,39,53,21
40,15,32,39,53,55,22
41,11,22,29,31,37,24
48,1,8,37,47,58,23
27,13,15,18,55,60,22
39,3,4,30,40,63,21
44,4,12,24,60,67,21
58,3,19,23,27,61,25
6,1,10,35,44,62,25
13,9,19,27,31,64,22
15,9,29,31,35,68,24
24,1,16,36,42,67,23
26,3,9,12,31,64,24
29,4,10,26,52,68,24
49,15,19,27,60,65,23
58,17,23,29,44,47,25
61,11,15,38,60,61,17
8,12,14,22,52,68,25
17,28,32,40,42,62,23
20,8,9,22,36,40,25
29,9,12,22,39,51,20
33,12,14,34,39,44,25
50,3,13,22,38,48,23
55,15,17,28,36,63,22
56,9,24,40,46,58,22
58,13,15,18,46,51,21
64,12,24,29,30,55,22
1,15,20,28,48,55,21
16,4,13,23,24,55,20
21,2,10,28,57,63,24
25,2,4,23,39,67,18
35,3,9,29,38,63,21
44,9,16,17,42,60,20
46,9,15,28,42,57,22
58,5,11,19,34,57,24
59,26,36,50,52,66,25
61,12,14,16,18,67,19
63,15,16,44,50,66,17
64,14,22,23,30,40,21
1,6,15,17,25,56,22
2,23,32,36,48,51,20
5,1,20,33,39,49,24
6,3,6,34,54,69,18
11,15,16,23,26,60,17
14,12,21,27,35,45,25
21,7,19,29,49,62,18
32,5,10,27,30,47,24
37,2,23,30,46,55,25
40,18,23,30,36,60,22
61,29,30,47,48,51,23
4,3,9,13,44,50,25
6,1,43,45,51,55,23
17,2,27,39,42,55,25
18,3,6,10,26,31,25
19,13,19,30,36,48,22
22,3,16,22,51,58,18
29,15,27,38,59,63,19
32,9,20,35,40,51,21
52,1,13,24,37,55,17
64,14,25,47,52,63,23
6,4,7,35,42,54,24
12,15,29,34,43,56,19
13,5,6,46,54,55,21
22,2,12,21,36,61,23
26,5,14,22,36,61,23
39,1,4,20,63,65,18
49,6,7,26,43,56,19
50,8,23,32,41,53,25
53,2,12,14,39,62,22
54,6,15,38,44,45,25
16,9,12,25,67,69,19
33,5,7,18,40,60,23
35,10,23,38,43,60,21
37,5,25,42,43,66,24
43,14,18,25,35,69,23
53,15,26,50,54,58,23
56,8,31,41,45,65,25
0,2,17,18,46,62,21
9,14,28,39,49,62,22
18,6,10,19,35,36,23
34,10,30,35,47,65,23
36,1,2,4,35,47,25
44,18,27,28,39,57,22
57,9,27,44,56,62,24
58,14,18,27,34,65,23
2,8,15,17,23,43,19
9,11,32,39,41,62,20
17,14,23,35,57,60,21
22,9,20,38,42,68,23
32,1,4,18,20,52,21
33,3,6,8,33,57,24
40,3,9,14,25,52,17
44,11,13,27,30,36,20
45,3,8,25,27,34,21
47,2,23,31,65,67,22
52,4,30,51,57,58,24
55,3,10,11,24,50,17
57,1,20,28,30,58,25
60,1,13,15,30,46,18
0,7,13,15,16,60,24
2,7,9,17,35,43,25
27,1,4,30,57,60,23
32,3,21,22,26,36,20
47,3,7,23,32,56,22
52,2,11,22,52,63,20
54,5,18,29,39,46,20
61,23,28,29,31,44,22
1,20,37,41,45,64,18
2,7,24,37,50,60,22
10,4,11,20,48,57,21
11,5,27,37,61,64,23
14,2,13,30,36,53,17
20,7,18,25,39,59,19
24,3,11,18,22,50,16
35,32,33,38,43,44,18
36,5,13,14,61,65,21
38,4,11,23,27,40,20
40,7,10,18,39,61,17
51,2,6,28,30,38,21
52,4,21,23,27,33,24
54,13,17,40,55,57,24
60,1,3,34,40,65,17
12,1,33,34,37,49,25
16,10,15,17,31,65,21
18,12,14,18,41,47,23
28,16,23,27,45,57,17
33,7,17,19,38,62,25
35,7,10,32,34,36,25
40,23,27,34,44,66,18
42,17,20,40,42,64,24
46,8,12,26,32,54,22
49,10,16,24,25,39,23
50,16,22,44,46,58,20
58,6,13,22,31,59,25
61,6,24,30,57,62,23
63,8,30,45,61,63,25
2,1,8,18,21,53,25
15,14,22,30,34,64,24
20,10,18,30,39,43,23
22,5,25,27,43,55,24
24,5,9,17,35,68,20
36,5,7,10,53,61,19
38,4,12,17,40,41,23
40,3,4,17,22,36,24
45,2,15,17,18,61,24
58,18,22,44,49,63,21
7,5,16,22,35,66,25
16,9,12,15,23,65,20
22,5,15,33,36,64,23
29,5,12,13,49,65,22
32,12,19,34,59,62,21
35,6,20,28,42,62,21
60,3,4,16,44,55,23
6,10,12,49,54,55,18
9,20,34,40,48,61,24
17,17,18,20,60,61,21
19,8,14,28,53,68,19
29,10,11,24,50,58,22
31,13,22,27,38,55,20
35,15,17,27,47,49,20
40,4,5,17,38,40,22
43,4,23,24,25,57,22
52,11,18,26,47,55,22
7,14,15,41,47,62,19
11,3,5,29,39,56,23
25,2,31,35,62,63,21
26,10,11,31,48,49,21
34,9,13,22,45,54,21
35,8,16,29,53,58,20
40,2,5,15,32,66,20
52,8,26,27,47,49,21
53,4,16,17,36,53,23
0,9,28,36,46,55,23
14,3,15,35,53,65,18
15,16,28,31,37,57,24
16,5,12,18,54,64,22
27,19,23,29,43,47,25
42,1,4,21,51,62,16
48,7,20,34,45,58,23
53,1,10,20,57,59,17
58,10,11,25,34,59,22
59,6,17,27,30,57,23
61,11,21,34,44,48,22
3,4,22,27,51,52,18
5,5,9,16,20,56,21
14,7,8,14,16,61,21
16,10,18,23,28,64,24
21,4,16,17,26,29,22
24,6,25,31,40,41,18
25,13,20,22,56,65,24
26,4,14,17,39,54,21
33,8,14,34,42,51,19
35,1,13,18,23,50,25
36,8,13,20,46,57,22
38,17,23,28,37,59,22
46,1,12,29,47,61,21
47,5,14,35,46,56,17
51,3,4,11,27,42,21
59,4,7,15,31,53,21
17,5,23,28,29,63,22
18,5,19,36,58,59,21
21,30,38,42,44,54,20
32,12,17,23,34,63,25
33,23,34,36,48,67,25
44,7,22,24,26,57,21
47,26,27,36,46,65,22
48,4,18,21,36,60,23
6,5,6,19,43,55,24
8,1,3,34,40,48,25
30,5,21,43,45,47,22
33,14,15,32,57,61,24
49,4,8,31,38,66,19
52,3,8,42,53,55,24
56,3,9,49,55,67,25
57,11,32,41,52,69,20
61,6,27,31,34,61,21
2,11,13,27,55,65,19
6,1,10,33,47,56,22
9,1,46,48,51,65,24
12,2,8,15,25,54,19
22,21,24,28,31,45,20
24,11,14,47,51,54,25
27,3,5,16,46,62,20
29,3,32,40,46,55,23
33,1,7,19,41,52,23
34,11,12,27,37,43,20
49,1,4,24,29,62,16
59,7,17,39,57,62,25
61,4,14,26,43,55,25
6,3,21,35,37,48,24
21,3,8,10,23,30,20
25,4,17,39,50,67,24
28,2,11,20,31,39,22
30,5,15,19,30,43,23
34,2,3,6,59,69,18
37,6,16,28,30,42,22
40,4,7,35,47,66,18
56,2,24,30,49,57,25
60,2,8,20,23,57,17
1,12,14,21,32,39,23
9,17,18,25,26,38,21
10,2,6,31,51,67,19
32,9,13,18,22,32,24
33,2,9,21,63,64,24
38,14,21,36,64,68,25
42,8,11,13,32,39,25
54,12,24,25,36,65,21
56,3,9,16,27,36,25
61,3,8,14,23,38,25
9,3,11,21,50,52,25
22,10,21,39,41,64,25
29,10,20,26,29,39,21
30,5,16,19,35,48,22
32,28,30,31,40,55,22
40,15,35,38,47,61,25
46,27,29,35,43,59,22
57,3,27,29,32,63,25
61,23,32,36,42,46,24
9,12,43,45,48,68,25
10,9,16,26,35,38,25
12,17,18,22,39,45,19
33,3,5,9,14,51,15
36,12,20,28,31,37,23
42,7,8,34,53,55,21
47,10,19,43,66,69,21
50,21,31,40,62,65,24
53,18,22,31,49,63,25
56,7,10,20,44,46,19
59,3,13,25,47,55,24
62,14,15,31,37,47,21
5,1,8,34,49,64,24
10,21,32,33,39,56,22
14,4,7,18,50,66,24
21,9,12,24,47,56,20
23,5,16,21,39,69,18
25,5,17,44,45,61,22
28,31,34,45,49,56,22
36,1,8,9,53,56,18
49,2,5,7,15,38,17
50,8,9,23,26,54,17
53,6,10,27,33,50,16
56,14,18,22,29,55,19
62,14,16,25,26,32,24
0,7,13,26,36,48,25
5,3,18,35,56,68,25
7,6,11,33,38,54,17
9,8,10,16,36,59,23
16,14,17,20,25,56,16
21,24,26,31,35,54,13
29,7,8,44,49,54,18
31,1,2,5,60,67,21
33,16,20,46,50,51,24
36,12,17,29,37,63,22
44,2,11,19,32,63,22
46,6,7,32,48,63,19
61,1,3,11,47,69,24
8,3,10,26,28,43,21
12,3,16,49,52,55,25
14,16,18,44,56,64,23
27,22,23,25,38,61,24
35,6,8,12,29,30,19
42,15,32,38,44,58,25
54,26,28,35,44,69,21
55,15,17,20,47,49,25
61,1,4,14,32,51,19
64,4,7,24,38,46,25
1,5,16,35,56,66,22
9,3,7,28,43,45,24
13,6,16,38,53,57,22
16,1,7,10,20,32,23
18,4,28,29,37,68,23
30,18,23,24,48,58,22
37,1,19,22,45,52,24
46,12,24,27,28,65,22
53,3,8,18,25,68,24
61,12,22,30,33,43,24
0,8,11,44,61,62,25
2,2,15,30,41,67,24
3,7,8,19,42,54,23
7,4,6,23,39,65,24
26,6,8,25,34,42,20
30,2,11,20,36,39,21
40,5,23,25,29,69,24
44,28,32,34,40,47,20
46,3,11,16,21,50,17
54,7,24,34,46,64,22
62,3,33,34,48,55,24
3,1,7,13,26,34,20
5,23,24,33,40,46,21
6,2,8,19,22,44,25
12,1,34,38,54,55,20
16,1,6,29,43,48,22
19,5,12,15,30,33,20
28,9,10,18,19,54,25
34,2,5,25,53,66,19
36,29,33,46,52,56,21
43,4,17,30,52,65,22
52,5,8,31,38,44,20
55,7,13,20,24,60,22
56,13,20,52,56,65,25
1,6,13,22,30,47,18
6,2,18,24,34,55,22
7,3,5,23,59,65,19
13,8,9,13,39,42,21
31,9,11,27,42,66,24
32,22,33,37,52,57,23
36,1,26,33,46,53,22
41,1,11,19,28,43,21
46,6,17,28,35,60,21
56,2,15,44,56,58,22
10,2,24,26,40,66,23
14,2,4,25,50,51,20
22,21,23,27,36,69,19
28,5,9,29,33,39,19
32,10,32,36,63,64,24
33,7,15,26,34,44,22
40,14,19,48,51,58,25
46,16,27,47,48,54,21
51,2,6,27,55,67,23
53,2,21,22,28,39,24
58,1,9,22,53,56,24
63,1,16,30,33,51,21
11,6,22,27,37,43,21
19,5,25,28,46,50,23
21,2,6,8,30,60,25
33,3,7,17,37,61,16
36,11,13,36,44,51,19
38,1,5,20,34,63,17
40,10,11,16,19,51,18
44,4,6,44,46,56,25
53,12,17,31,37,50,20
54,14,24,33,40,67,22
58,6,14,28,54,63,21
59,11,17,18,43,49,25
64,3,6,13,47,55,20
2,4,10,19,36,54,21
5,4,8,24,58,68,25
6,3,12,26,33,69,21
16,10,16,40,49,69,17
26,4,5,8,14,60,21
34,1,3,21,26,67,18
36,7,17,18,43,53,25
38,21,35,36,61,69,23
42,2,14,26,44,47,23
15,14,26,29,40,63,17
18,10,17,19,55,60,20
23,14,20,37,52,65,24
26,15,18,38,46,48,24
29,8,10,17,42,57,23
32,8,11,38,61,62,17
33,14,28,34,47,57,21
34,9,20,30,47,56,24
40,22,23,35,39,63,17
46,3,6,18,52,66,22
20,6,13,46,56,68,24
32,13,16,18,32,44,25
34,6,32,41,49,63,24
41,4,13,28,31,62,23
47,21,23,31,49,69,18
57,2,17,18,33,66,21
59,18,21,25,41,44,22
61,3,27,28,60,63,21
2,6,33,35,48,68,21
10,2,6,11,29,44,22
17,9,10,21,34,68,15
22,3,5,22,42,55,18
29,16,21,38,43,45,25
43,4,6,12,20,50,22
45,1,22,25,40,59,23
51,7,10,12,37,49,24
56,17,18,36,53,64,23
60,22,26,41,45,55,25
62,11,40,41,50,60,24
2,1,3,22,49,62,12
10,10,18,38,40,58,20
19,9,11,17,41,45,19
20,7,12,31,42,55,23
21,1,5,10,21,35,23
35,1,8,28,29,58,15
58,9,10,20,30,37,24
61,1,7,9,17,38,18
63,11,23,34,47,53,22
2,3,5,14,26,29,23
6,5,10,17,22,46,25
19,16,32,44,45,49,22
35,4,12,38,63,67,23
40,7,9,22,40,50,17
42,12,20,39,50,66,25
45,8,16,18,39,67,20
55,6,26,49,50,66,25
61,11,15,26,32,48,23
62,13,17,22,34,43,25
63,6,12,34,48,52,17
5,7,8,10,33,60,23
8,3,28,48,50,58,23
9,5,18,19,33,51,23
16,7,13,32,40,46,25
19,18,21,23,43,46,22
27,6,7,19,59,67,18
28,8,10,28,31,50,19
35,7,8,11,17,27,22
41,8,10,11,54,69,18
44,8,10,23,44,61,18
52,16,42,43,46,61,22
53,1,16,27,36,41,22
56,2,8,15,19,30,21
20,8,18,25,47,56,24
25,12,23,38,39,57,18
40,6,13,34,37,46,20
45,13,24,27,43,63,23
48,21,23,35,44,67,24
54,4,10,20,39,67,21
58,16,18,22,29,41,25
6,4,23,28,36,51,24
9,16,22,33,41,62,19
10,4,14,30,39,59,23
12,7,9,29,57,61,25
15,6,17,33,44,67,19
29,18,22,32,52,59,21
34,16,28,32,46,64,20
51,11,21,30,43,55,24
61,3,18,32,33,63,20
64,9,18,43,52,54,25
2,15,17,43,49,55,24
4,6,14,18,32,35,21
8,9,20,24,48,59,22
9,14,15,21,47,48,24
23,21,26,36,57,66,18
24,27,32,38,49,56,22
